who,to,peso
"azure",".net",2.09331923466404E+16
"sql-server",".net",3.23225242193399E+16
"asp.net",".net",4.84070299619901E+15
"linq",".net",2.0501743858149E+16
"c#",".net",6.21678950429238E+16
"codeigniter","ajax",2.31919004056518E+15
"jquery","ajax",5.05667286158997E+15
"mysql","ajax",2.48000894229175E+15
"css","ajax",2.66137137246889E+16
"php","ajax",2.8010679256604E+15
"javascript","ajax",2.43991444226232E+15
"json","ajax",3.29474460109319E+15
"azure","amazon-web-services",2.13099495939463E+15
"devops","amazon-web-services",2.49835312010178E+15
"docker","amazon-web-services",3.21980710141005E+16
"java","android",5.09847307664765E+16
"nginx","apache",4.85831734640834E+16
"mysql","apache",2.90978345476985E+16
"linux","apache",2.81682130131587E+16
".net","asp.net",4.84070299619901E+15
"sql","asp.net",216722646057341
"sql-server","asp.net",5.9673289486899E+15
"c#","asp.net",804485421720991
"jquery","asp.net",2.87231782200982E+16
"mvc","asp.net",2.28284121630288E+16
"azure","asp.net",2.3764072995058E+16
"linq","asp.net",3.15812777461708E+16
"vb.net","asp.net",2.37113462811445E+16
".net","azure",2.09331923466404E+16
"c#","azure",2.21444870118189E+15
"asp.net","azure",2.3764072995058E+16
"amazon-web-services","azure",2.13099495939463E+15
"c++","c",8.08910461414738E+15
"python","c",2.23204322539354E+16
"java","c",2.60494593041004E+15
"linq","c#",2.52229316431428E+16
"sql","c#",2.56139036170436E+16
"asp.net","c#",804485421720991
"vb.net","c#",2.51851359563246E+16
".net","c#",6.21678950429238E+16
"sql-server","c#",4.5914651235525E+15
"azure","c#",2.21444870118189E+15
"c","c++",8.08910461414738E+15
"java","c++",2.32010956582659E+16
"python","c++",2.43010456662067E+16
"mysql","codeigniter",2.25968859293116E+16
"jquery","codeigniter",2.67297713096735E+16
"laravel","codeigniter",3.16587093174608E+16
"php","codeigniter",3.74014964616073E+15
"ajax","codeigniter",2.31919004056518E+15
"wordpress","codeigniter",2.51331307657485E+15
"ajax","css",2.66137137246889E+16
"mysql","css",2.70106224894446E+16
"photoshop","css",2.0855721424968E+16
"jquery","css",6.66742056997517E+15
"html","css",1.26571127129727E+16
"javascript","css",7.55366000961222E+15
"html5","css",8.71382698615689E+15
"wordpress","css",3.12648246688488E+16
"php","css",5.14476049091089E+16
"amazon-web-services","devops",2.49835312010178E+15
"docker","devops",2.45542028176682E+16
"jenkins","devops",2.36025876075352E+16
"python","django",4.99059429536832E+16
"flask","django",4.23366431399249E+15
"postgresql","django",2.24892526431824E+15
"amazon-web-services","docker",3.21980710141005E+16
"devops","docker",2.45542028176682E+16
"jenkins","docker",2.65286075998095E+16
"reactjs","express",3.19242725889634E+16
"redux","express",2.15434584176768E+16
"node.js","express",5.88290766229592E+16
"mongodb","express",4.87680608117814E+15
"python","flask",2.52513718614193E+16
"django","flask",4.23366431399249E+15
"jenkins","git",2.30754401459751E+16
"linux","git",2.77087927747243E+15
"jsp","hibernate",3.94069459855105E+16
"java","hibernate",3.25235651045229E+15
"spring-boot","hibernate",3.02329037063762E+16
"maven","hibernate",3.41000520247912E+16
"spring-mvc","hibernate",6.41098982130922E+16
"java-ee","hibernate",3.99081737855448E+15
"spring","hibernate",1.03268284463552E+16
"mysql","html",2.13556888902308E+15
"javascript","html",5.97554888405298E+15
"php","html",4.56610408797106E+15
"css","html",1.26571127129727E+16
"jquery","html",4.42336202302194E+15
"php","html5",3.23505069191621E+16
"wordpress","html5",2.22164407540197E+16
"javascript","html5",4.70063637570509E+15
"jquery","html5",4.74927733889145E+15
"css","html5",8.71382698615689E+15
"spring","java",4.39542592253143E+16
"c++","java",2.32010956582659E+16
"jsp","java",2.16198030352602E+16
"java-ee","java",2.51161828204623E+16
"android","java",5.09847307664765E+16
"hibernate","java",3.25235651045229E+15
"c","java",2.60494593041004E+15
"spring-mvc","java",2.50412148107651E+16
"spring","java-ee",3.98121051485168E+16
"hibernate","java-ee",3.99081737855448E+15
"spring-mvc","java-ee",2.79645918525748E+16
"java","java-ee",2.51161828204623E+16
"jquery","javascript",5.78418315264219E+15
"node.js","javascript",4.27317293230563E+15
"mysql","javascript",2.29161907165268E+15
"php","javascript",473281575555596
"ajax","javascript",2.43991444226232E+15
"reactjs","javascript",3.35673591048514E+15
"css","javascript",7.55366000961222E+15
"html","javascript",5.97554888405298E+15
"html5","javascript",4.70063637570509E+15
"git","jenkins",2.30754401459751E+16
"devops","jenkins",2.36025876075352E+16
"maven","jenkins",3.34770807791306E+15
"docker","jenkins",2.65286075998095E+16
"json","jquery",2.06295773408558E+15
"html","jquery",4.42336202302194E+15
"wordpress","jquery",2.8870170599889E+15
"asp.net","jquery",2.87231782200982E+16
"php","jquery",4.66190908982322E+16
"css","jquery",6.66742056997517E+15
"html5","jquery",4.74927733889145E+15
"ajax","jquery",5.05667286158997E+15
"mysql","jquery",3.5712977811081E+15
"javascript","jquery",5.78418315264219E+15
"codeigniter","jquery",2.67297713096735E+16
"jquery","json",2.06295773408558E+15
"xml","json",4.27216684588127E+16
"ajax","json",3.29474460109319E+15
"hibernate","jsp",3.94069459855105E+16
"java","jsp",2.16198030352602E+16
"spring-mvc","jsp",2.40644902519288E+15
"spring","jsp",3.06133398512187E+15
"php","laravel",4.58847332102423E+15
"mysql","laravel",2.02302660542892E+15
"codeigniter","laravel",3.16587093174608E+16
"sql-server","linq",2.04447921116892E+16
"c#","linq",2.52229316431428E+16
"asp.net","linq",3.15812777461708E+16
".net","linq",2.0501743858149E+16
"git","linux",2.77087927747243E+15
"unix","linux",2.53574128742399E+16
"osx","linux",2.34128149397002E+15
"ubuntu","linux",2.98943425853469E+16
"shell","linux",2.1131792917374E+16
"nginx","linux",2.10804784479129E+16
"windows","linux",2.99454007738398E+16
"python","linux",2.11703604440036E+15
"apache","linux",2.81682130131587E+16
"spring-mvc","maven",2.49338022598565E+16
"jenkins","maven",3.34770807791306E+15
"spring","maven",3.95302298409244E+15
"hibernate","maven",3.41000520247912E+16
"express","mongodb",4.87680608117814E+15
"node.js","mongodb",5.86578066121739E+15
"reactjs","mongodb",223209731892725
"postgresql","mongodb",2.28555570002776E+16
"mysql","mongodb",2.63692647616321E+15
"redis","mongodb",3.35547311287876E+16
"asp.net","mvc",2.28284121630288E+16
"css","mysql",2.70106224894446E+16
"jquery","mysql",3.5712977811081E+15
"mongodb","mysql",2.63692647616321E+15
"laravel","mysql",2.02302660542892E+15
"php","mysql",6.50702591241001E+15
"postgresql","mysql",2.59099424887567E+16
"javascript","mysql",2.29161907165268E+15
"html","mysql",2.13556888902308E+15
"ajax","mysql",2.48000894229175E+15
"apache","mysql",2.90978345476985E+16
"codeigniter","mysql",2.25968859293116E+16
"linux","nginx",2.10804784479129E+16
"redis","nginx",2.74731414069342E+16
"apache","nginx",4.85831734640834E+16
"javascript","node.js",4.27317293230563E+15
"reactjs","node.js",5.51927475519787E+16
"express","node.js",5.88290766229592E+16
"mongodb","node.js",5.86578066121739E+15
"redux","node.js",2.34019232536939E+15
"windows","osx",2.08602467764824E+16
"linux","osx",2.34128149397002E+15
"css","photoshop",2.0855721424968E+16
"css","php",5.14476049091089E+16
"laravel","php",4.58847332102423E+15
"wordpress","php",4.10370454965128E+15
"jquery","php",4.66190908982322E+16
"javascript","php",473281575555596
"ajax","php",2.8010679256604E+15
"html","php",4.56610408797106E+15
"mysql","php",6.50702591241001E+15
"html5","php",3.23505069191621E+16
"codeigniter","php",3.74014964616073E+15
"mysql","postgresql",2.59099424887567E+16
"redis","postgresql",2.62801817413736E+15
"mongodb","postgresql",2.28555570002776E+16
"django","postgresql",2.24892526431824E+15
"flask","python",2.52513718614193E+16
"c++","python",2.43010456662067E+16
"django","python",4.99059429536832E+16
"c","python",2.23204322539354E+16
"linux","python",2.11703604440036E+15
"node.js","reactjs",5.51927475519787E+16
"redux","reactjs",6.5129855059702E+15
"mongodb","reactjs",223209731892725
"express","reactjs",3.19242725889634E+16
"javascript","reactjs",3.35673591048514E+15
"mongodb","redis",3.35547311287876E+16
"nginx","redis",2.74731414069342E+16
"postgresql","redis",2.62801817413736E+15
"reactjs","redux",6.5129855059702E+15
"node.js","redux",2.34019232536939E+15
"express","redux",2.15434584176768E+16
"linux","shell",2.1131792917374E+16
"spring-mvc","spring",6.33302173131528E+16
"spring-boot","spring",5.70403926567113E+15
"maven","spring",3.95302298409244E+15
"java-ee","spring",3.98121051485168E+16
"hibernate","spring",1.03268284463552E+16
"jsp","spring",3.06133398512187E+15
"java","spring",4.39542592253143E+16
"spring","spring-boot",5.70403926567113E+15
"hibernate","spring-boot",3.02329037063762E+16
"spring-mvc","spring-boot",6.06168262095568E+15
"maven","spring-mvc",2.49338022598565E+16
"java-ee","spring-mvc",2.79645918525748E+16
"spring","spring-mvc",6.33302173131528E+16
"jsp","spring-mvc",2.40644902519288E+15
"spring-boot","spring-mvc",6.06168262095568E+15
"hibernate","spring-mvc",6.41098982130922E+16
"java","spring-mvc",2.50412148107651E+16
"sql-server","sql",2.4354772917848E+16
"c#","sql",2.56139036170436E+16
"asp.net","sql",216722646057341
"vb.net","sql-server",2.17888934428383E+16
".net","sql-server",3.23225242193399E+16
"asp.net","sql-server",5.9673289486899E+15
"linq","sql-server",2.04447921116892E+16
"sql","sql-server",2.4354772917848E+16
"c#","sql-server",4.5914651235525E+15
"linux","ubuntu",2.98943425853469E+16
"linux","unix",2.53574128742399E+16
"asp.net","vb.net",2.37113462811445E+16
"sql-server","vb.net",2.17888934428383E+16
"c#","vb.net",2.51851359563246E+16
"c#","wcf",2.92998800335289E+16
"hibernate","web-services",2.12109569251881E+16
"linux","windows",2.99454007738398E+16
"osx","windows",2.08602467764824E+16
"php","wordpress",4.10370454965128E+15
"html5","wordpress",2.22164407540197E+16
"css","wordpress",3.12648246688488E+16
"codeigniter","wordpress",2.51331307657485E+15
"jquery","wordpress",2.8870170599889E+15
"c#","wpf",3.89574921756961E+15
"asp.net","wpf",2.81590233387332E+15
".net","wpf",3.23509252200594E+15
"json","xml",4.27216684588127E+16
